time,station_id,lat,lon,swh_m,period_s,direction_deg,qc_flag
2017-01-01T00:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,1.0,7.8,245,good
2017-01-01T01:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,1.5,8.0,246,good
2017-01-01T02:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,2.0,8.2,247,good
2017-01-01T03:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,2.5,8.4,248,good
2017-01-01T04:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,3.0,8.6,249,good
2017-01-01T05:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,3.5,8.8,250,good
2017-01-01T06:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,4.0,9.0,251,good
2017-01-01T07:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,4.5,9.2,252,good
2017-01-02T00:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,1.0,7.8,245,good
2017-01-02T01:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,1.5,8.0,246,good
2017-01-02T02:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,2.0,8.2,247,good
2017-01-02T03:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,2.5,8.4,248,good
2017-01-02T04:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,3.0,8.6,249,good
2017-01-02T05:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,3.5,8.8,250,good
2017-01-02T06:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,4.0,9.0,251,good
2017-01-02T07:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,4.5,9.2,252,good
2017-01-03T00:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,1.0,7.8,245,good
2017-01-03T01:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,1.5,8.0,246,good
2017-01-03T02:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,2.0,8.2,247,good
2017-01-03T03:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,2.5,8.4,248,good
2017-01-03T04:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,3.0,8.6,249,good
2017-01-03T05:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,3.5,8.8,250,good
2017-01-03T06:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,4.0,9.0,251,good
2017-01-03T07:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,4.5,9.2,252,good
2017-01-04T00:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,1.0,7.8,245,good
2017-01-04T01:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,1.5,8.0,246,good
2017-01-04T02:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,2.0,8.2,247,good
2017-01-04T03:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,2.5,8.4,248,good
2017-01-04T04:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,3.0,8.6,249,good
2017-01-04T05:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,3.5,8.8,250,good
2017-01-04T06:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,4.0,9.0,251,good
2017-01-04T07:00:00Z,sw-isles-of-scilly-wavenet,49.816667,-6.545167,4.5,9.2,252,good
